gene	conMean	treatMean	logFC	pValue	fdr
AC022211.3	0.220774525	0.560077593407643	1.34305300238592	1.42321732483869e-07	1.04227232831001e-06
AC046143.1	0.4206196311875	1.30110253529299	1.62914656992093	1.04217476379511e-12	3.54049926700394e-11
PTOV1-AS2	0.63924526134375	1.35652613680892	1.08547537887584	1.8008734683107e-05	7.05919311456406e-05
BDNF-AS	0.41294406325	0.200775442649682	-1.04036354927642	1.69384378959969e-08	1.52321393726502e-07
MIR4435-2HG	0.95563812571875	2.61544155873567	1.45251821660166	1.25802369667176e-12	3.94503328469119e-11
LINC02321	0.0865080291875	0.543233927878981	2.65066763956149	2.1933323590102e-12	6.38677494064161e-11
LHX1-DT	0.01220461159375	0.441413519254777	5.17663252814183	3.514048756651e-15	2.52804801728481e-13
ELFN1-AS1	0.0340803594375	0.714326861082803	4.38957191599524	4.82526668487174e-05	0.000168128238051229
LINC02870	0.15822540340625	0.689423649089172	2.12340954188925	5.48462340773508e-09	5.366155542128e-08
AL359979.1	0.51924489628125	0.218930351229299	-1.24594315549626	2.1114041123532e-05	8.0194013335651e-05
COLCA1	2.0160932973125	0.886275464136943	-1.18573532391522	2.68488481942639e-10	4.26443394046555e-09
AC005104.1	0.1755092351875	0.40341554577707	1.20071973359544	3.70742982807643e-06	1.80644887638943e-05
DELEC1	0.05772362353125	0.448040329742038	2.95639482912786	4.99172016723079e-07	3.17962175235586e-06
ZNF667-AS1	1.569825397875	0.638150933022293	-1.29863451566646	9.41998592931761e-09	8.93073084616701e-08
EMSLR	2.404997059625	6.10343587561783	1.34358649371796	3.289479238665e-06	1.65556918061206e-05
AC103563.7	1.2057576783125	0.144206665636943	-3.0637302406203	2.50760095692598e-12	7.13208365190808e-11
STARD4-AS1	0.0891245595625	0.292360079461783	1.71385138365532	1.77375864648865e-09	2.14782853926299e-08
ACVR2B-AS1	0.67690081771875	0.258075635917197	-1.39115051199083	0.00145046096436336	0.00339830222110419
AC089983.1	0.01403368071875	0.27589411510828	4.29714933381231	3.31714441405174e-07	2.22904814196993e-06
AC131009.3	0.51476972621875	1.30097327749363	1.33759221304851	2.95291586828965e-08	2.52546580903374e-07
AL596244.1	0.8315121571875	1.78811746157643	1.10463224857134	0.00404537676755374	0.00838558607918343
ZNF710-AS1	5.83411621521875	1.21031598090446	-2.26913037942142	1.04501149259943e-11	2.45778664509443e-10
AP002907.1	0.0800651531875	0.227025942993631	1.50361078921654	2.61787647230221e-07	1.80884911052294e-06
AC008735.2	0.36880031690625	1.1341752171879	1.62073173692113	2.77783269330175e-07	1.89800217792915e-06
AC254633.1	1.4877284029375	0.72679518543949	-1.03349040686205	4.14838641010059e-05	0.000146632271085347
AC092910.3	0.149086187625	0.321175146286624	1.10721365355816	2.54478937575603e-08	2.20728894081534e-07
AP000844.2	0.061360455625	0.269768461082803	2.13634059057678	0.020548500584414	0.034098800834109
FOXD2-AS1	0.1973550850625	1.17188886649363	2.56997016404582	1.15901211375978e-18	4.72490605042737e-16
MYG1-AS1	0.57743797675	1.20883574814331	1.06588033166671	2.2149767344624e-10	3.76238409201044e-09
MNX1-AS1	0.11264744021875	0.309728432296178	1.45918929450216	0.000403530071009183	0.00108227472992156
CEROX1	0.941452513625	0.345266359761147	-1.44717855254349	0.00185783849950631	0.00424698408391816
MIR133A1HG	4.0574424411875	0.134776099350318	-4.91193404627307	7.74304638630325e-06	3.40638335627657e-05
AC132872.3	0.21156421490625	0.530629807187898	1.32661009568282	5.34138676566959e-07	3.35301845063181e-06
LMNTD2-AS1	0.15859150046875	0.425978065245223	1.42546369060844	0.00568971997278674	0.0112053858552191
NUP153-AS1	0.632417132375	1.43918801729299	1.18630672345393	1.78205326075432e-10	3.1586248375399e-09
AL355803.1	0.17285044140625	0.396077972726115	1.1962601823843	0.00898227567860002	0.0166192483433099
AL162431.1	0.1892546025625	0.399074321350318	1.07632906470835	5.44544187496284e-07	3.35301845063181e-06
AL662797.1	0.136422500125	0.30303537477707	1.1514046089831	4.09103194437154e-07	2.67476792332099e-06
KTN1-AS1	0.52821141359375	1.11938199521975	1.08351506718756	1.27055394082489e-09	1.72654163292093e-08
AC104041.1	0.06142064496875	0.40009294639172	2.70353962727885	1.28557738247549e-05	5.27604408982391e-05
AC005392.2	18.4185506095	4.51674646798726	-2.02780369705946	0.000225028548669127	0.000649328137158108
NCK1-DT	0.96939642240625	2.49273879185669	1.3625730508758	1.20737503662737e-10	2.34384074570678e-09
AL928654.2	0.39073625015625	1.02081706761465	1.38545734424567	7.23129638172897e-06	3.21595471812892e-05
AL117329.1	0.05212662628125	0.28958563656051	2.47389765202783	5.89826153693839e-11	1.18255309175011e-09
LINC01356	0.031852203875	0.232628822063694	2.86856475171656	1.51488747753565e-10	2.8071324015547e-09
GLIS2-AS1	0.62455179540625	0.176497247203822	-1.82317554034325	0.00341234849952421	0.00727056135003155
AC009950.1	0.13269005453125	0.300482338429936	1.17921995459682	2.30155859308219e-07	1.61770468927559e-06
AC004034.1	0.13852381084375	0.336169736898089	1.27905587198823	0.00761219105898303	0.0144785531339599
LINC01564	0.36673690128125	0.976391565656051	1.41271439459769	0.0133649841528147	0.0235864006044623
AC099850.3	2.47953825428125	10.4499883188089	2.07535794112126	2.74156225042515e-15	2.09558164516872e-13
AC005253.1	0.15923939628125	0.374345072592357	1.23317145783731	2.96014126469791e-09	3.2911388788414e-08
TRPM2-AS	0.106436624625	0.562657632866242	2.40226267039305	2.01983466771237e-05	7.71955562066321e-05
MAGI2-AS3	0.69022389234375	0.333215195191083	-1.0506102224353	0.000127170633265466	0.00039474539209052
AC048344.4	0.06848897221875	0.278669045047771	2.02460913900889	1.29733926780832e-10	2.47913425707746e-09
FOXD3-AS1	0.28904026240625	0.836740051522293	1.53350902335353	0.0264373605075891	0.0426555302121128
FOXC2-AS1	0.055119158	0.342889363917197	2.63711739929966	1.92398666797611e-05	7.42705628033042e-05
AC010719.1	0.12281563859375	0.395501967035032	1.68719059359635	7.46219033664752e-05	0.000242719648449998
AL355312.3	9.88748355709375	2.74553770442357	-1.8485146664573	1.31938686357079e-07	9.83908618382364e-07
AP000223.1	0.379630735625	0.186538835815287	-1.02512078170343	0.000363059835653193	0.00099556542377546
CD44-AS1	0.53737362459375	1.23349903767516	1.19875917235546	7.97855608455311e-05	0.000257461057820804
AC093484.4	0.37337437721875	0.91981943683121	1.30072775767696	3.50212170401255e-06	1.73404649554953e-05
AC093788.1	0.0965381459375	0.297772400955414	1.62503901938549	2.60496240704312e-07	1.80884911052294e-06
AC073365.1	0.01751137725	1.11509181000637	5.99272613314653	5.455851771674e-07	3.35301845063181e-06
AC006026.3	0.9337348298125	0.318696581519108	-1.55082935472664	3.22527370941694e-09	3.55361238433957e-08
AL441992.1	2.072743647875	5.11066839528344	1.30197028708501	4.92906564015982e-10	7.09205562107701e-09
U62317.3	0.224351885125	0.785127431092357	1.8071635250734	5.58780771153382e-11	1.14620979337433e-09
LINC02437	0.63307446715625	0.239449312366242	-1.40265491812831	0.0202267536272784	0.0337341005347838
AC021087.4	2.70803426134375	0.413827658471338	-2.71014401452892	0.0253999448693618	0.0410901224540072
AL355802.3	0.22146346421875	0.458695334273885	1.05046752198888	1.26983815422449e-05	5.22899684382677e-05
AL596442.2	0.089484051125	0.213694786627389	1.25584923520819	1.04039835884221e-06	5.91817299006522e-06
AL512274.1	15.8399696243437	5.75185146560191	-1.46147124325457	1.99020730986526e-05	7.6541620753623e-05
AL445222.1	0.185272030625	0.41168097410828	1.1518816728172	1.26446030361522e-05	5.2244499628187e-05
AC010735.2	0.19747374109375	0.874815698563694	2.14731828490208	6.64694652367791e-08	5.21103564003723e-07
AC020907.4	0.0708650584375	0.216817400767516	1.61333418976648	1.799429974277e-05	7.05919311456406e-05
MYHAS	2.60006866215625	0.253390089815287	-3.35911771586187	0.0277147033491595	0.0444817351653833
AC104031.1	0.2704943204375	1.13788115814968	2.07267968123611	1.79361432280322e-09	2.15057874194935e-08
